pod,kss_node,sim_node,category
rq1-s210,worker-1,worker-1,MATCH
rq1-s211,worker-3,worker-3,MATCH
rq1-s212,worker-1,worker-1,MATCH
rq1-s213,worker-3,worker-3,MATCH
rq1-s214,worker-3,worker-3,MATCH
rq1-s215,worker-1,worker-1,MATCH
rq1-s216,worker-2,worker-1,DIFFER
rq1-s217,worker-3,worker-3,MATCH
rq1-s218,worker-3,worker-3,MATCH
rq1-s219,worker-3,worker-3,MATCH
rq1-s220,worker-1,worker-1,MATCH
rq1-s221,worker-1,worker-1,MATCH
rq1-s222,worker-2,worker-2,MATCH
rq1-s223,worker-2,worker-2,MATCH
rq1-s224,worker-1,worker-1,MATCH
rq1-s225,worker-1,worker-1,MATCH
rq1-s226,worker-1,worker-1,MATCH
rq1-s227,worker-1,worker-1,MATCH
rq1-s228,worker-2,worker-1,DIFFER
rq1-s229,worker-3,worker-3,MATCH
rq1-s230,worker-2,worker-1,DIFFER
rq1-s231,worker-3,worker-3,MATCH
rq1-s232,worker-3,worker-3,MATCH
rq1-s233,worker-1,worker-1,MATCH
rq1-s234,worker-1,worker-1,MATCH
rq1-s235,worker-1,worker-1,MATCH
rq1-s236,worker-3,worker-3,MATCH
rq1-s237,worker-2,worker-1,DIFFER
rq1-s238,worker-3,worker-3,MATCH
rq1-s239,worker-1,worker-1,MATCH
rq1-s240,worker-2,worker-2,MATCH
rq1-s241,worker-3,worker-3,MATCH
rq1-s242,worker-1,worker-1,MATCH
rq1-s243,worker-2,worker-1,DIFFER
rq1-s244,worker-3,worker-3,MATCH
rq1-s245,worker-1,worker-1,MATCH
rq1-s246,worker-3,worker-3,MATCH
rq1-s247,worker-3,worker-3,MATCH
rq1-s248,worker-2,worker-2,MATCH
rq1-s249,worker-2,worker-1,DIFFER
rq1-s250,worker-3,worker-3,MATCH
rq1-s251,worker-2,worker-1,DIFFER
rq1-s252,worker-1,worker-1,MATCH
rq1-s253,worker-3,worker-3,MATCH
rq1-s254,worker-2,worker-2,MATCH
rq1-s255,worker-3,worker-3,MATCH
rq1-s256,worker-3,worker-3,MATCH
rq1-s257,worker-1,worker-1,MATCH
rq1-s258,worker-2,worker-1,DIFFER
rq1-s259,worker-1,worker-1,MATCH
rq1-s260,worker-1,worker-1,MATCH
rq1-s261,worker-3,worker-3,MATCH
rq1-s262,worker-3,worker-3,MATCH
rq1-s263,worker-2,worker-1,DIFFER
rq1-s264,worker-2,worker-2,MATCH
rq1-s265,worker-1,worker-1,MATCH
rq1-s266,worker-3,worker-3,MATCH
rq1-s267,worker-1,worker-1,MATCH
rq1-s268,worker-1,worker-1,MATCH
rq1-s269,worker-1,worker-1,MATCH
rq1-s270,worker-2,worker-1,DIFFER
rq1-s271,worker-3,worker-3,MATCH
rq1-s272,worker-3,worker-3,MATCH
rq1-s273,worker-1,worker-1,MATCH
rq1-s274,worker-3,worker-3,MATCH
rq1-s275,worker-2,worker-1,DIFFER
rq1-s276,worker-3,worker-3,MATCH
rq1-s277,worker-2,worker-2,MATCH
rq1-s278,worker-1,worker-1,MATCH
rq1-s279,worker-3,worker-3,MATCH
rq1-s280,worker-2,worker-1,DIFFER
rq1-s281,worker-3,worker-3,MATCH
rq1-s282,worker-2,worker-1,DIFFER
rq1-s283,worker-2,worker-2,MATCH
rq1-s284,worker-3,worker-3,MATCH
rq1-s285,worker-1,worker-1,MATCH
rq1-s286,worker-3,worker-3,MATCH
rq1-s287,worker-2,worker-2,MATCH
rq1-s288,worker-3,worker-3,MATCH
rq1-s289,worker-3,worker-3,MATCH
rq1-s290,worker-3,worker-3,MATCH
rq1-s291,worker-3,worker-3,MATCH
rq1-s292,worker-1,worker-1,MATCH
rq1-s293,worker-3,worker-3,MATCH
rq1-s294,worker-3,worker-3,MATCH
rq1-s295,worker-1,worker-1,MATCH
rq1-s296,worker-3,worker-3,MATCH
rq1-s297,worker-2,worker-1,DIFFER
rq1-s298,worker-3,worker-3,MATCH
rq1-s299,worker-3,worker-3,MATCH
