Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778796939,800,,Aggregated,213.400000,0.900000,140,170,270,520,3200,7600,9000,9200,9800,10000,10000,9014,26,140.0,983.1843425670355,6.538297049701214,10008.714322000742,2.9913467938761924
1778796940,820,,Aggregated,213.600000,0.900000,140,170,260,530,3300,8200,9000,9300,9800,10000,10000,9246,26,140.0,1012.1520225362788,6.538297049701214,10008.714322000742,2.991563919532771
1778796941,840,,Aggregated,213.100000,0.900000,140,170,270,530,4000,8600,9100,9300,9800,10000,10000,9487,26,140.0,1041.502398575329,6.538297049701214,10008.714322000742,2.991778222831243
1778796942,860,,Aggregated,213.600000,0.900000,140,170,260,520,4100,8700,9200,9400,10000,10000,10000,9753,26,140.0,1058.8376530631908,6.538297049701214,10141.730035014916,2.9920024607812983
1778796943,880,,Aggregated,211.400000,0.900000,140,170,250,510,4200,8800,9300,9700,11000,11000,11000,10000,26,140.0,1078.0452067193005,6.538297049701214,10863.942294963636,2.9922
1778796944,900,,Aggregated,212.700000,0.900000,140,170,250,530,4600,8800,9400,10000,11000,11000,11000,10258,26,140.0,1124.594903810678,6.538297049701214,11013.617272954434,2.992396178592318
1778796945,920,,Aggregated,228.600000,0.900000,140,170,250,520,4900,8900,9700,11000,11000,11000,11000,10524,26,140.0,1144.5129372046963,6.538297049701214,11344.603942008689,2.992588369441277
1778796946,940,,Aggregated,244.200000,0.000000,140,170,240,490,4900,8900,9900,11000,12000,12000,12000,10772,26,140.0,1156.7668456543204,6.538297049701214,11884.343019977678,2.99275900482733
1778796947,960,,Aggregated,243.900000,0.000000,150,170,240,490,5100,9000,10000,11000,12000,12000,12000,10976,26,150.0,1177.7345130803371,6.538297049701214,12232.442437962163,2.992893586005831
1778796948,980,,Aggregated,245.200000,0.000000,150,170,250,500,5300,9000,10000,11000,12000,13000,13000,11054,26,150.0,1184.4270943292079,6.538297049701214,13197.388763015624,2.9929437307761897
1778796949,1000,,Aggregated,243.500000,0.000000,150,170,260,570,6200,9200,11000,12000,13000,13000,13000,11294,26,150.0,1298.8106776270504,6.538297049701214,13197.388763015624,2.9930936780591466
1778796950,1000,,Aggregated,227.700000,0.000000,150,170,250,550,6200,9200,11000,12000,13000,13000,13000,11537,26,150.0,1302.725732864409,6.538297049701214,13197.388763015624,2.993239143624859
1778796951,1000,,Aggregated,223.100000,0.000000,150,170,250,530,6200,9200,12000,13000,13000,13000,13000,11775,26,150.0,1305.961341680308,6.538297049701214,13448.113256017677,2.993375796178344
1778796952,1000,,Aggregated,220.900000,0.000000,150,170,240,530,6300,9300,12000,13000,14000,14000,14000,12029,26,150.0,1335.8756811809105,6.538297049701214,14135.998940037098,2.9935156704630477
1778796953,1000,,Aggregated,221.400000,0.000000,150,170,240,520,6300,9400,12000,13000,14000,14000,14000,12272,26,150.0,1355.8065580026152,6.538297049701214,14371.92662502639,2.9936440677966103
1778796954,1000,,Aggregated,221.000000,0.000000,150,170,230,500,6400,9400,13000,13000,15000,15000,15000,12518,26,150.0,1373.1186556534308,6.538297049701214,15111.834037990775,2.9937689726793417
1778796955,1000,,Aggregated,219.000000,0.000000,150,170,230,490,6400,9500,13000,14000,15000,15000,15000,12762,26,150.0,1386.2478415755256,6.538297049701214,15438.056626007892,2.9938881053126467
1778796956,1000,,Aggregated,217.700000,0.000000,150,170,230,480,6400,9800,13000,14000,16000,16000,16000,13010,26,150.0,1416.1349435507152,6.538297049701214,16416.896911978256,2.9940046118370485
1778796957,1000,,Aggregated,216.600000,0.000000,150,170,220,450,6500,10000,13000,15000,16000,16000,16000,13251,26,150.0,1436.7314491243521,6.538297049701214,16485.2017830126,2.9941136517998643
1778796958,1000,,Aggregated,214.800000,0.000000,150,170,220,430,6500,10000,13000,15000,17000,17000,17000,13461,26,150.0,1447.908008161606,6.538297049701214,17184.527565026656,2.9942054825050146
1778796959,1000,,Aggregated,215.200000,0.000000,150,170,220,420,6700,11000,14000,16000,17000,17000,17000,13710,26,150.0,1472.66071655045,6.538297049701214,17474.391957977787,2.9943107221006566
1778796960,1000,,Aggregated,231.100000,0.000000,150,170,220,410,6700,11000,14000,16000,18000,18000,18000,13949,26,150.0,1478.740961843975,6.538297049701214,17937.01300903922,2.994408201304753
1778796961,1000,,Aggregated,231.100000,0.000000,150,170,220,400,6800,11000,14000,16000,18000,19000,19000,14200,26,150.0,1498.6024998404155,6.538297049701214,18637.3152390006,2.994507042253521
1778796962,1000,,Aggregated,232.900000,0.000000,150,170,210,390,6800,11000,15000,17000,19000,20000,20000,14436,26,150.0,1508.0814919603731,6.538297049701214,19524.374247994274,2.9945968412302575
1778796963,1000,,Aggregated,233.600000,0.000000,150,170,210,390,6900,11000,15000,17000,20000,20000,20000,14693,26,150.0,1545.9015268787357,6.538297049701214,19742.077336006332,2.994691349622269
1778796964,1000,,Aggregated,232.700000,0.000000,150,170,210,380,6900,11000,15000,18000,20000,21000,21000,14931,26,150.0,1555.9750345897155,6.538297049701214,20522.12145802332,2.9947759694595137
1778796966,1000,,Aggregated,233.200000,0.000000,150,170,210,370,7000,11000,16000,18000,21000,21000,21000,15179,26,150.0,1585.4182303651392,6.538297049701214,20869.12830499932,2.994861321562685
1778796967,1000,,Aggregated,234.000000,0.000000,150,170,210,360,7000,11000,16000,19000,21000,22000,22000,15421,26,150.0,1598.1425530539575,6.538297049701214,21660.85392801324,2.994941962259257
1778796968,1000,,Aggregated,234.300000,0.000000,150,170,210,360,7300,12000,17000,19000,22000,22000,22000,15663,26,150.0,1629.2387981076365,6.538297049701214,21838.898672023788,2.9950201110898296
1778796969,1000,,Aggregated,233.800000,0.000000,150,170,210,360,7600,12000,17000,20000,22000,23000,23000,15873,26,150.0,1643.2713963331628,6.538297049701214,22574.636249046307,2.995085995085995
1778796970,1000,,Aggregated,233.100000,0.000000,150,170,210,350,7800,12000,18000,21000,23000,23000,23000,16122,26,150.0,1686.3634199300454,6.538297049701214,23182.448038016446,2.9951618905842947
1778796971,1000,,Aggregated,232.800000,0.000000,150,170,210,350,8200,12000,18000,21000,24000,24000,24000,16361,26,150.0,1730.1191552387622,6.538297049701214,23871.554611017928,2.995232565246623
1778796972,1000,,Aggregated,231.100000,0.000000,150,170,200,340,8100,12000,19000,22000,24000,25000,25000,16609,26,150.0,1738.5611333578784,6.538297049701214,24724.622967012692,2.995303750978385
1778796973,1000,,Aggregated,231.300000,0.000000,150,170,200,340,8400,13000,19000,22000,25000,25000,25000,16850,26,150.0,1776.3387102297595,6.538297049701214,25351.65100201266,2.9953709198813057
