timestamp,node,cpuUsed,cpuPct,memUsed,memPct
2026-05-14T23:19:28+01:00,k3s-worker-2,831m,83%,774Mi,13%
2026-05-14T23:19:28+01:00,k3s-worker-3,7m,0%,608Mi,10%
2026-05-14T23:19:35+01:00,k3s-server,488m,48%,1015Mi,17%
2026-05-14T23:19:35+01:00,k3s-worker-1,203m,20%,667Mi,11%
2026-05-14T23:19:35+01:00,k3s-worker-2,831m,83%,774Mi,13%
2026-05-14T23:19:35+01:00,k3s-worker-3,7m,0%,608Mi,10%
2026-05-14T23:19:41+01:00,k3s-server,488m,48%,1015Mi,17%
2026-05-14T23:19:41+01:00,k3s-worker-1,203m,20%,667Mi,11%
2026-05-14T23:19:41+01:00,k3s-worker-2,831m,83%,774Mi,13%
2026-05-14T23:19:41+01:00,k3s-worker-3,7m,0%,608Mi,10%
2026-05-14T23:19:47+01:00,k3s-server,493m,49%,1015Mi,17%
2026-05-14T23:19:47+01:00,k3s-worker-1,194m,19%,667Mi,11%
2026-05-14T23:19:47+01:00,k3s-worker-2,822m,82%,775Mi,13%
2026-05-14T23:19:47+01:00,k3s-worker-3,9m,0%,608Mi,10%
2026-05-14T23:19:53+01:00,k3s-server,493m,49%,1015Mi,17%
2026-05-14T23:19:53+01:00,k3s-worker-1,194m,19%,667Mi,11%
2026-05-14T23:19:53+01:00,k3s-worker-2,822m,82%,775Mi,13%
2026-05-14T23:19:53+01:00,k3s-worker-3,9m,0%,608Mi,10%
2026-05-14T23:19:59+01:00,k3s-server,497m,49%,1015Mi,17%
2026-05-14T23:19:59+01:00,k3s-worker-1,211m,21%,668Mi,11%
2026-05-14T23:19:59+01:00,k3s-worker-2,820m,82%,775Mi,13%
2026-05-14T23:19:59+01:00,k3s-worker-3,7m,0%,609Mi,10%
2026-05-14T23:20:05+01:00,k3s-server,497m,49%,1015Mi,17%
2026-05-14T23:20:05+01:00,k3s-worker-1,211m,21%,668Mi,11%
2026-05-14T23:20:05+01:00,k3s-worker-2,820m,82%,775Mi,13%
2026-05-14T23:20:05+01:00,k3s-worker-3,7m,0%,609Mi,10%
2026-05-14T23:20:11+01:00,k3s-server,497m,49%,1015Mi,17%
2026-05-14T23:20:11+01:00,k3s-worker-1,211m,21%,668Mi,11%
2026-05-14T23:20:11+01:00,k3s-worker-2,820m,82%,775Mi,13%
2026-05-14T23:20:11+01:00,k3s-worker-3,7m,0%,609Mi,10%
2026-05-14T23:20:17+01:00,k3s-server,524m,52%,1015Mi,17%
2026-05-14T23:20:17+01:00,k3s-worker-1,201m,20%,667Mi,11%
2026-05-14T23:20:17+01:00,k3s-worker-2,819m,81%,775Mi,13%
2026-05-14T23:20:17+01:00,k3s-worker-3,10m,1%,608Mi,10%
2026-05-14T23:20:23+01:00,k3s-server,524m,52%,1015Mi,17%
2026-05-14T23:20:23+01:00,k3s-worker-1,201m,20%,667Mi,11%
2026-05-14T23:20:23+01:00,k3s-worker-2,819m,81%,775Mi,13%
2026-05-14T23:20:23+01:00,k3s-worker-3,10m,1%,608Mi,10%
2026-05-14T23:20:28+01:00,k3s-server,489m,48%,1016Mi,17%
2026-05-14T23:20:28+01:00,k3s-worker-1,201m,20%,668Mi,11%
2026-05-14T23:20:28+01:00,k3s-worker-2,831m,83%,775Mi,13%
2026-05-14T23:20:28+01:00,k3s-worker-3,6m,0%,608Mi,10%
2026-05-14T23:20:34+01:00,k3s-server,489m,48%,1016Mi,17%
2026-05-14T23:20:34+01:00,k3s-worker-1,201m,20%,668Mi,11%
2026-05-14T23:20:34+01:00,k3s-worker-2,831m,83%,775Mi,13%
2026-05-14T23:20:34+01:00,k3s-worker-3,6m,0%,608Mi,10%
2026-05-14T23:20:40+01:00,k3s-server,489m,48%,1016Mi,17%
2026-05-14T23:20:40+01:00,k3s-worker-1,201m,20%,668Mi,11%
2026-05-14T23:20:40+01:00,k3s-worker-2,831m,83%,775Mi,13%
2026-05-14T23:20:40+01:00,k3s-worker-3,6m,0%,608Mi,10%
2026-05-14T23:20:47+01:00,k3s-server,487m,48%,1016Mi,17%
2026-05-14T23:20:47+01:00,k3s-worker-1,201m,20%,667Mi,11%
2026-05-14T23:20:47+01:00,k3s-worker-2,831m,83%,775Mi,13%
2026-05-14T23:20:47+01:00,k3s-worker-3,8m,0%,609Mi,10%
2026-05-14T23:20:52+01:00,k3s-server,487m,48%,1016Mi,17%
2026-05-14T23:20:52+01:00,k3s-worker-1,201m,20%,667Mi,11%
2026-05-14T23:20:52+01:00,k3s-worker-2,831m,83%,775Mi,13%
2026-05-14T23:20:52+01:00,k3s-worker-3,8m,0%,609Mi,10%
2026-05-14T23:21:03+01:00,k3s-server,487m,48%,1016Mi,17%
2026-05-14T23:21:03+01:00,k3s-worker-1,205m,20%,668Mi,11%
2026-05-14T23:21:03+01:00,k3s-worker-2,824m,82%,775Mi,13%
2026-05-14T23:21:03+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:21:10+01:00,k3s-server,487m,48%,1016Mi,17%
2026-05-14T23:21:10+01:00,k3s-worker-1,205m,20%,668Mi,11%
2026-05-14T23:21:10+01:00,k3s-worker-2,824m,82%,775Mi,13%
2026-05-14T23:21:10+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:21:16+01:00,k3s-server,499m,49%,1016Mi,17%
2026-05-14T23:21:16+01:00,k3s-worker-1,189m,18%,667Mi,11%
2026-05-14T23:21:16+01:00,k3s-worker-2,830m,83%,775Mi,13%
2026-05-14T23:21:16+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:21:23+01:00,k3s-server,499m,49%,1016Mi,17%
2026-05-14T23:21:23+01:00,k3s-worker-1,189m,18%,667Mi,11%
2026-05-14T23:21:23+01:00,k3s-worker-2,830m,83%,775Mi,13%
2026-05-14T23:21:23+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:21:32+01:00,k3s-server,513m,51%,1017Mi,17%
2026-05-14T23:21:32+01:00,k3s-worker-1,201m,20%,668Mi,11%
2026-05-14T23:21:32+01:00,k3s-worker-2,846m,84%,775Mi,13%
2026-05-14T23:21:32+01:00,k3s-worker-3,7m,0%,608Mi,10%
2026-05-14T23:21:40+01:00,k3s-server,513m,51%,1017Mi,17%
2026-05-14T23:21:40+01:00,k3s-worker-1,201m,20%,668Mi,11%
2026-05-14T23:21:40+01:00,k3s-worker-2,846m,84%,775Mi,13%
2026-05-14T23:21:40+01:00,k3s-worker-3,7m,0%,608Mi,10%
2026-05-14T23:21:49+01:00,k3s-server,501m,50%,1017Mi,17%
2026-05-14T23:21:49+01:00,k3s-worker-1,213m,21%,667Mi,11%
2026-05-14T23:21:49+01:00,k3s-worker-2,833m,83%,775Mi,13%
2026-05-14T23:21:49+01:00,k3s-worker-3,13m,1%,608Mi,10%
2026-05-14T23:22:05+01:00,k3s-server,482m,48%,1017Mi,17%
2026-05-14T23:22:05+01:00,k3s-worker-1,196m,19%,668Mi,11%
2026-05-14T23:22:05+01:00,k3s-worker-2,832m,83%,775Mi,13%
2026-05-14T23:22:05+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:22:15+01:00,k3s-server,491m,49%,1017Mi,17%
2026-05-14T23:22:15+01:00,k3s-worker-1,283m,28%,668Mi,11%
2026-05-14T23:22:15+01:00,k3s-worker-2,828m,82%,775Mi,13%
2026-05-14T23:22:15+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:22:24+01:00,k3s-server,491m,49%,1017Mi,17%
2026-05-14T23:22:24+01:00,k3s-worker-1,283m,28%,668Mi,11%
