timestamp,service,desired,current,target_cpu,observed_cpu
2026-06-07T15:35:58.560740100Z,frontend,2,2,70,39
2026-06-07T15:35:58.561998700Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.561998700Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.561998700Z,frontend,2,2,70,39
2026-06-07T15:35:58.563062500Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.563062500Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.563062500Z,frontend,2,2,70,39
2026-06-07T15:35:58.564094700Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.564094700Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.564094700Z,frontend,2,2,70,39
2026-06-07T15:35:58.564094700Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.564094700Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.564094700Z,frontend,2,2,70,39
2026-06-07T15:35:58.564094700Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.564094700Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.564094700Z,frontend,2,2,70,39
2026-06-07T15:35:58.565601Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.565601Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.565601Z,frontend,2,2,70,39
2026-06-07T15:35:58.565601Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.565601Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.565601Z,frontend,2,2,70,39
2026-06-07T15:35:58.566608600Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.566608600Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.566608600Z,frontend,2,2,70,39
2026-06-07T15:35:58.566608600Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.566608600Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.566608600Z,frontend,2,2,70,39
2026-06-07T15:35:58.567614800Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.567614800Z,checkoutservice,1,1,70,6
