serviceRequest,startTime,duration,status
web,11.248,0.014000,OK
web,11.276,0.014000,OK
web,11.304,0.014000,OK
web,11.332,0.014000,OK
web,11.360,0.014000,OK
web,11.388,0.014000,OK
web,11.416,0.014000,OK
web,11.444,0.014000,OK
web,11.472,0.014000,OK
web,11.500,0.014000,OK
web,11.528,0.014000,OK
web,11.556,0.014000,OK
web,11.584,0.014000,OK
web,11.612,0.014000,OK
web,11.640,0.014000,OK
web,11.668,0.014000,OK
web,11.696,0.014000,OK
web,11.724,0.014000,OK
web,11.752,0.014000,OK
web,11.780,0.014000,OK
web,11.808,0.014000,OK
web,11.836,0.014000,OK
web,11.864,0.014000,OK
web,11.892,0.014000,OK
web,11.920,0.014000,OK
web,11.948,0.014000,OK
web,11.976,0.014000,OK
web,12.004,0.014000,OK
web,12.032,0.014000,OK
web,12.060,0.014000,OK
web,12.088,0.014000,OK
web,12.116,0.014000,OK
web,12.144,0.014000,OK
web,12.172,0.014000,OK
web,12.200,0.014000,OK
web,12.228,0.014000,OK
web,12.256,0.014000,OK
web,12.284,0.014000,OK
web,12.312,0.014000,OK
web,12.340,0.014000,OK
web,12.368,0.014000,OK
web,12.396,0.014000,OK
web,12.424,0.014000,OK
web,12.452,0.014000,OK
web,12.480,0.014000,OK
web,12.508,0.014000,OK
web,12.536,0.014000,OK
web,12.564,0.014000,OK
web,12.592,0.014000,OK
web,12.620,0.014000,OK
web,12.648,0.014000,OK
web,12.676,0.014000,OK
web,12.704,0.014000,OK
web,12.732,0.014000,OK
web,12.760,0.014000,OK
web,12.788,0.014000,OK
web,12.816,0.014000,OK
web,12.844,0.014000,OK
web,12.872,0.014000,OK
web,12.900,0.014000,OK
web,12.928,0.014000,OK
web,12.956,0.014000,OK
web,12.984,0.014000,OK
web,13.012,0.014000,OK
web,13.040,0.014000,OK
web,13.068,0.014000,OK
web,13.096,0.014000,OK
web,13.124,0.014000,OK
web,13.152,0.014000,OK
web,13.180,0.014000,OK
web,13.208,0.014000,OK
web,13.236,0.014000,OK
web,13.264,0.014000,OK
web,13.292,0.014000,OK
web,13.320,0.014000,OK
web,13.348,0.014000,OK
web,13.376,0.014000,OK
web,13.404,0.014000,OK
web,13.432,0.014000,OK
web,13.460,0.014000,OK
web,13.488,0.014000,OK
web,13.516,0.014000,OK
web,13.544,0.014000,OK
web,13.572,0.014000,OK
web,13.600,0.014000,OK
web,13.628,0.014000,OK
web,13.656,0.014000,OK
web,13.684,0.014000,OK
web,13.712,0.014000,OK
web,13.740,0.014000,OK
web,13.768,0.014000,OK
web,13.796,0.014000,OK
web,13.824,0.014000,OK
web,13.852,0.014000,OK
web,13.880,0.014000,OK
web,13.908,0.014000,OK
